Comment,Designator,Footprint,LCSC,Quantity
100kΩ,R4,R_0603,C25803,1
100nF,"C10,C13,C14,C15,C17,C19,C21,C22,C25,C30,C4,C5,C8",C_0603,C14663,13
100uF,C26,C_CASE-B-3528-21(mm),C16133,1
10k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25805,1
10nF,C7,C_0603,C57112,1
10uF,"C11,C27,C29,C31,C33",C_0603,C19702,5
18pF,"C16,C18",C_0603,C1647,2
1uF,"C23,C24,C28,C32",C_0603,C15849,4
2.2uF,"C1,C9",C_0603,C23630,2
220Ω,R3,R_0603,C22962,1
270Ω,R2,R_0603,C22966,1
33kΩ,R5,R_0603,C4216,1
4.7kΩ,"R6,R7",R_0603,C23162,2
4.7uF,"C12,C20",C_0603,C19666,2
470kΩ,R8,R_0603,C23178,1
AMS1117,U6,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
AO3401A,Q1,Q_SOT-23,C15127,1
B5817W,D3,D_SOD-123,C7420328,1
BMP280,U2,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,C83291,1
"Connector, USB-TYPE-C-16P",J10,TYPE-C-SMD_HX-TYPE-C-16PIN,C2927039,1
ICM-42605,U3,LGA-14_L3.0-W2.5-P0.50-TL,C2655099,1
LTC4412xS6,U5,TSOT-23-6,C514442,1
MMC5603NJ,U1,FLIPCHIP-4_L0.8-W0.8-R2-C2-P0.40-TL,C404328,1
RT9013-33GB,U7,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,C47773,1
STM32F411RCTx,U4,LQFP-64_10x10mm_P0.5mm,C222222,1
"Tactile Button, 160gf",S1,SW_TS-1088-AR02016,C720477,1
X322525MOB4SI,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C9006,1
~,FB1,FB_0603,C14709,1
