Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0603,146.1,-100.0,-90.0,top
C10,100nF,C_0603,147.7,-77.3,0.0,top
C11,10uF,C_0603,142.5,-96.3,-90.0,top
C12,4.7uF,C_0603,143.8,-94.8,-90.0,top
C13,100nF,C_0603,145.1,-94.3,-90.0,top
C14,100nF,C_0603,133.2,-80.5,180.0,top
C15,100nF,C_0603,142.2,-79.0,90.0,top
C16,18pF,C_0603,150.2,-86.8,0.0,top
C17,100nF,C_0603,132.9,-93.8,-90.0,top
C18,18pF,C_0603,150.9,-92.3,180.0,top
C19,100nF,C_0603,133.2,-81.9,180.0,top
C20,4.7uF,C_0603,136.2,-79.8,90.0,top
C21,100nF,C_0603,131.6,-93.8,-90.0,top
C22,100nF,C_0603,148.3,-84.32,90.0,top
C23,1uF,C_0603,147.0,-84.32,90.0,top
C24,1uF,C_0603,140.9,-79.0,90.0,top
C25,100nF,C_0603,146.5,-93.9,-90.0,top
C26,100uF,C_CASE-B-3528-21(mm),129.1,-116.1,-90.0,top
C27,10uF,C_0603,137.1,-120.2,-90.0,top
C28,1uF,C_0603,138.2,-112.9,-90.0,top
C29,10uF,C_0603,151.5,-117.1,90.0,top
C30,100nF,C_0603,150.1,-117.1,90.0,top
C31,10uF,C_0603,140.76,-123.9,-90.0,top
C32,1uF,C_0603,143.3,-112.1,-90.0,top
C33,10uF,C_0603,142.16,-123.9,-90.0,top
C4,100nF,C_0603,141.1,-102.9,180.0,top
C5,100nF,C_0603,142.965,-107.345,0.0,top
C7,10nF,C_0603,151.3,-102.9,0.0,top
C8,100nF,C_0603,152.3,-105.765,0.0,top
C9,2.2uF,C_0603,149.6,-108.1,0.0,top
D3,B5817W,D_SOD-123,133.6,-109.1,90.0,top
FB1,~,FB_0603,150.5,-85.0,0.0,top
J10,"Connector, USB-TYPE-C-16P",TYPE-C-SMD_HX-TYPE-C-16PIN,127.45,-103.31,-90.0,top
Q1,AO3401A,Q_SOT-23,133.84,-115.0,180.0,top
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,127.8,-92.5,90.0,top
R2,270Ω,R_0603,125.49,-84.25,180.0,top
R3,220Ω,R_0603,125.5,-87.3,180.0,top
R4,100kΩ,R_0603,162.3,-78.3,-90.0,top
R5,33kΩ,R_0603,163.7,-78.3,90.0,top
R6,4.7kΩ,R_0603,138.7,-96.8,0.0,top
R7,4.7kΩ,R_0603,138.7,-98.1,0.0,top
R8,470kΩ,R_0603,135.0,-123.5,90.0,top
S1,"Tactile Button, 160gf",SW_TS-1088-AR02016,149.1,-79.9,180.0,top
U1,MMC5603NJ,FLIPCHIP-4_L0.8-W0.8-R2-C2-P0.40-TL,146.2,-102.2,-90.0,top
U2,BMP280,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,142.9,-105.1,90.0,top
U3,ICM-42605,LGA-14_L3.0-W2.5-P0.50-TL,149.4,-105.295,90.0,top
U4,STM32F411RCTx,LQFP-64_10x10mm_P0.5mm,138.9,-88.0,90.0,top
U5,LTC4412xS6,TSOT-23-6,133.7375,-120.05,180.0,top
U6,AMS1117,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,144.985,-120.3,180.0,top
U7,RT9013-33GB,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,140.8,-112.0725,180.0,top
X1,X322525MOB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,150.4,-89.5,0.0,top
